address,price,sold_date,sold_type,bedrooms,bathroom,car_space,land_size (m2),house_type
"26 Woodbury Street,WILLIAMS LANDING VIC ss",900000,19 Feb 2025,private treaty,4,4,1.0,680.0,House
"23A York Street,BENTLEIGH EAST VIC ss",1648000,21 Dec 2024,auction,4,4,1.0,680.0,Townhouse
"18 Kathryn Street,FAWKNER VIC ss",640000,07 Dec 2024,auction,4,4,1.0,680.0,House
"28a Matthews Road,BENTLEIGH EAST VIC ss",1555000,16 Nov 2024,auction,4,4,1.0,680.0,Townhouse
"11/51 Stockade Avenue,COBURG VIC ss",900000,13 Nov 2024,sold prior to auction,4,4,1.0,680.0,Townhouse
"38 Roland Avenue,STRATHMORE VIC ss",1540000,02 Nov 2024,private treaty,4,4,1.0,680.0,Townhouse
"2B Enfield Road,BRIGHTON VIC ss",3050000,25 Oct 2024,private treaty,4,4,1.0,680.0,Townhouse
"42 Surrey Road,MOUNT WAVERLEY VIC ss",1170000,13 Jul 2024,auction,4,4,1.0,680.0,Townhouse
"96B Windella Crescent,GLEN WAVERLEY VIC ss",1321000,07 Jul 2024,private treaty,4,4,1.0,680.0,Townhouse
"42 Campbell Street,BENTLEIGH VIC ss",1785000,29 Jun 2024,auction,4,4,1.0,680.0,Townhouse
"32 Sercombe Grove,HAWTHORN VIC ss",2600000,18 May 2024,private treaty,4,4,1.0,680.0,House
"132 Page Street,MIDDLE PARK VIC ss",5760000,18 May 2024,auction,4,4,1.0,336.0,House
"19 Tilba Street,ABERFELDIE VIC ss",1652500,16 Mar 2024,private treaty,4,4,1.0,332.0,House
"23 Nicholson Street,SOUTH YARRA VIC ss",3125000,02 Mar 2024,auction,4,4,1.0,300.0,House
"14 Lincoln Street,RICHMOND VIC ss",1308000,22 Nov 2023,auction,4,4,1.0,300.0,House
"23B Billson Street,BRIGHTON EAST VIC ss",2270000,12 Nov 2023,private treaty,4,4,1.0,300.0,Townhouse
"64 Oakbank Street,NEWPORT VIC ss",2110000,11 Nov 2023,auction,4,4,1.0,300.0,House
"17 Chatsworth Road,PRAHRAN VIC ss",4210000,14 Oct 2023,auction,4,4,1.0,300.0,House
"37A Essex Park Drive,ENDEAVOUR HILLS VIC ss",915000,12 Oct 2023,private treaty,4,4,1.0,340.0,House
"60 St Vincent Place North,ALBERT PARK VIC ss",13845000,22 Jul 2023,private treaty,4,4,1.0,731.0,House
"28A Ester Crescent,CLAYTON SOUTH VIC ss",1190000,20 Jul 2023,private treaty,4,4,1.0,731.0,Townhouse
"5/25-27 Coane Street,OAKLEIGH EAST VIC ss",960000,03 Jun 2023,private treaty,4,4,1.0,731.0,Townhouse
"2/47 Margaret Street,CLAYTON VIC ss",902000,17 May 2023,private treaty,4,4,1.0,731.0,Townhouse
"143 Cruikshank Street,PORT MELBOURNE VIC ss",3000000,30 Apr 2023,private treaty,4,4,1.0,731.0,House
"4 Eel Race Road,SEAFORD VIC ss",1575000,26 Nov 2022,auction,4,4,1.0,614.0,House
"196 Drummond Street,CARLTON VIC ss",2525000,16 Sep 2022,private treaty,4,4,1.0,251.0,House
"47 Finlay Street,ALBERT PARK VIC ss",4430000,15 Dec 2021,private treaty,4,4,1.0,219.0,House
"15A Federal Street,WILLIAMSTOWN VIC ss",1700000,08 Dec 2021,private treaty,4,4,1.0,219.0,House
"10 Jordan Street,MALVERN VIC ss",4625000,02 Dec 2021,auction,4,4,1.0,219.0,House
"31 Bilbul Avenue,ROSEBUD VIC ss",896000,20 Nov 2021,auction,4,4,1.0,835.0,House
"29B Sassafras Drive,TEMPLESTOWE LOWER VIC ss",1350000,31 Aug 2021,private treaty,4,4,1.0,835.0,Townhouse
"9 Amelia Avenue,MORNINGTON VIC ss",1675000,28 Apr 2021,private treaty,4,4,1.0,908.0,House
"12 Hoddle Road,FOSTER VIC ss3,",675000,09 Apr 2021,private treaty,4,4,1.0,156.0,House
"14 Constitution Hill Road,SORRENTO VIC ss",11150000,09 Mar 2021,private treaty,4,4,1.0,156.0,House
"16 Sharon Street,FLORA HILL VIC ss1,",500000,05 Mar 2021,private treaty,4,4,1.0,212.0,House
"44-46 Grey Street,EAST MELBOURNE VIC ss",5600000,27 Jan 2021,auction,4,4,1.0,538.0,House
"203 Munro Street,COBURG VIC ss",1230000,19 Dec 2020,private treaty,4,4,1.0,538.0,House
"12 Athol Street,PRAHRAN VIC ss",3150000,19 Nov 2020,auction,4,4,1.0,538.0,House
"116 Nelson Road,SOUTH MELBOURNE VIC ss",3100000,04 Nov 2020,private treaty,4,4,1.0,538.0,House
"21 Manifold Street,CAMPERDOWN VIC ss",452750,30 Oct 2020,private treaty,4,4,1.0,996.0,House
"50a Corhampton Road,BALWYN NORTH VIC ss",2580000,29 Oct 2020,private treaty,4,4,1.0,996.0,Semi-detached
"60 St Vincent Place North,ALBERT PARK VIC ss",9220000,14 May 2020,private treaty,4,4,1.0,731.0,House
"13 Bates Avenue,UPPER FERNTREE GULLY VIC ss1,",990000,30 Apr 2020,auction,4,4,1.0,26.0,House
"Lot 45 Double Black,MOUNT HOTHAM VIC ss",722500,20 Apr 2020,private treaty,4,4,1.0,26.0,House
"39 Llaneast Street,ARMADALE VIC ss",2950000,14 Mar 2020,auction,4,4,1.0,388.0,House
"Jagungal Hotplate Drive,MOUNT HOTHAM VIC ss",680000,26 Feb 2020,private treaty,4,4,1.0,388.0,House
"32 Sercombe Grove,HAWTHORN VIC ss",2400000,19 Feb 2020,auction,4,4,1.0,388.0,House
"20 Wanbanna Avenue,GREENSBOROUGH VIC ss",839000,24 Nov 2019,private treaty,4,4,1.0,586.0,House
"110 Willis Street,HAMPTON VIC ss",1868000,02 Nov 2018,private treaty,4,4,1.0,586.0,House
"20 Durham Street,RICHMOND VIC ss",2260000,01 Sep 2018,auction,4,4,1.0,244.0,House
"3 Nerida Court,KEALBA VIC ss",640000,22 Aug 2018,private treaty,4,4,1.0,667.0,House
"8 Bellinger Crescent,WYNDHAM VALE VIC ss",494500,30 Jun 2018,auction,4,4,1.0,667.0,House
"93 Park Street,ST KILDA WEST VIC ss",2425000,19 Mar 2018,private treaty,4,4,1.0,667.0,House
"1/10 Overlea Avenue,ROSEBUD VIC ss",875000,13 Jan 2018,private treaty,4,4,1.0,667.0,House
"76 River Street,SOUTH YARRA VIC ss",3400000,25 Nov 2017,auction,4,4,1.0,667.0,Townhouse
"143 Cruikshank Street,PORT MELBOURNE VIC ss",2926000,14 Oct 2017,auction,4,4,1.0,667.0,House
"29 Hambleton Street,ALBERT PARK VIC ss",3281000,24 Jun 2017,auction,4,4,1.0,667.0,House
CRANBOURNE NORTH VIC ss,551000,02 Jan 2017,private treaty,4,4,1.0,656.0,House
"12 Aquila Crescent,ENDEAVOUR HILLS VIC ss",596000,17 Aug 2016,private treaty,4,4,1.0,995.0,House
"153-155 Hotham Street,EAST MELBOURNE VIC ss",3661700,08 Jun 2016,private treaty,4,4,1.0,212.0,House
"4B Noora Avenue,BENTLEIGH EAST VIC ss",1300000,29 Apr 2016,auction,4,4,1.0,212.0,Townhouse
"57 Mills Street,HAMPTON VIC ss",2600000,17 Mar 2016,auction,4,4,1.0,212.0,House
"78 Westerfield Drive,NOTTING HILL VIC ss",920000,24 Nov 2015,private treaty,4,4,1.0,212.0,House
"10 Tarrangower Place,BERWICK VIC ss",493000,16 Nov 2015,private treaty,4,4,1.0,212.0,House
"1/11 Lincoln Place,PRAHRAN VIC ss",1300000,09 Oct 2015,private treaty,4,4,1.0,212.0,Townhouse
"32 Ridgeview Street,ELTHAM VIC ss1,",1100000,25 Sep 2015,private treaty,4,4,1.0,320.0,House
"9 Duncan Avenue,BORONIA VIC ss",660000,11 Aug 2015,auction,4,4,1.0,320.0,House
"5 Valias Street,WARRANDYTE VIC ss1,",830000,16 Jul 2015,sold prior to auction,4,4,1.0,248.0,House
"13 Stephens Street,BALWYN NORTH VIC ss1,",1850000,21 Sep 2013,auction,4,4,1.0,27.0,House
"36 Curzon Street,NORTH MELBOURNE VIC ss",1050000,14 Sep 2013,auction,4,4,1.0,27.0,House
"57 Holmbury Boulevard,MULGRAVE VIC ss",730000,19 Jul 2013,private treaty,4,4,1.0,27.0,House
"33 Glen Road,BELGRAVE HEIGHTS VIC ss1,",590000,08 Jul 2013,private treaty,4,4,1.0,962.0,House
"22 Barrett Street,ALBERT PARK VIC ss",2045000,19 Oct 2012,private treaty,4,4,1.0,962.0,House
"1/19 Tattenham Street,CAULFIELD EAST VIC ss",880000,16 Apr 2012,private treaty,4,4,1.0,962.0,Townhouse
"41 HIGHBURY ROAD,RYE VIC ss",320000,08 Jan 2012,private treaty,4,4,1.0,946.0,House
"9 Lake Edge Drive,KEYSBOROUGH VIC ss",880000,27 Jun 2011,auction,4,4,1.0,600.0,House
"15 Braemar Street,ESSENDON VIC ss",1500000,18 Dec 2010,private treaty,4,4,1.0,600.0,House
"2/71 Moriah Street,CLAYTON VIC ss",618000,07 Oct 2009,private treaty,4,4,1.0,600.0,Townhouse
"220 Highlander Drive,CRAIGIEBURN VIC ss",835000,09 Apr 2025,private treaty,4,4,2.0,392.0,House
"55 Glenalva Parade,CANNONS CREEK VIC ss",900000,07 Apr 2025,private treaty,4,4,2.0,858.0,House
"20B Cushing Avenue,BENTLEIGH VIC ss",1680000,05 Apr 2025,auction,4,4,2.0,858.0,Townhouse
"11 Casandra Court,BERWICK VIC ss",1410000,01 Apr 2025,private treaty,4,4,2.0,727.0,House
"44 Sheehans Road,BLACKBURN VIC ss",1738000,29 Mar 2025,auction,4,4,2.0,323.0,House
"45b Hillview Drive,CARRUM DOWNS VIC ss",682000,21 Mar 2025,private treaty,4,4,2.0,323.0,House
"51B The Avenue,OCEAN GROVE VIC ss",2840000,20 Mar 2025,private treaty,4,4,2.0,423.0,Townhouse
"64 Morrie Crescent,BLACKBURN NORTH VIC ss",1531000,15 Mar 2025,auction,4,4,2.0,581.0,House
"43 Windorah Drive,POINT COOK VIC ss",1250000,13 Mar 2025,private treaty,4,4,2.0,622.0,House
"28 Savery Court,POINT COOK VIC ss",1050000,13 Mar 2025,private treaty,4,4,2.0,554.0,House
"18 Tramway Parade,BEAUMARIS VIC ss",1965000,12 Mar 2025,private treaty,4,4,2.0,534.0,House
"4 Mopoke Lane,DONVALE VIC ss1,",3100000,06 Mar 2025,sold prior to auction,4,4,2.0,429.0,House
"7 Moyne Road,WERRIBEE VIC ss",780000,05 Mar 2025,private treaty,4,4,2.0,480.0,House
"5 Silverbay Avenue,POINT COOK VIC ss",1110000,04 Mar 2025,private treaty,4,4,2.0,480.0,House
